,,,,,Waitlist # at end of day,
Person ID,Course Sec,Registration Date,Status,Waitlist Reason,Day -89,Day -88
1487969,FDMAT108-14,9/15/2016 11:14:00 AM,Dropped,Waitlist Student Dropped,,
1490442,FDMAT108-14,9/16/2016 2:12:00 PM,Dropped,Waitlist Student Dropped,,
1278013,FDMAT108-14,9/16/2016 4:10:00 PM,Dropped,,,
1278013,FDMAT108-14,9/16/2016 4:10:00 PM,Registered,Waitlist Registered,,
1283767,FDMAT108-14,9/16/2016 5:46:00 PM,Dropped,,,
1283767,FDMAT108-14,9/16/2016 5:46:00 PM,Registered,Waitlist Registered,,
1501782,FDMAT108-14,9/16/2016 6:03:00 PM,Dropped,,,
1501782,FDMAT108-14,9/16/2016 6:03:00 PM,Registered,Waitlist Registered,,
1495704,FDMAT108-14,9/20/2016 8:23:00 AM,Dropped,Waitlist Turned Off,,
1501782,FDMAT108-14,9/26/2016 10:51:00 PM,Dropped,,,
1283767,FDMAT108-14,10/27/2016 3:01:00 PM,Withdrawn,,,
1487697,FDMAT108-14,11/8/2016 8:55:00 AM,Withdrawn,,,
1448827,FDMAT108-15,6/28/2016 6:08:00 PM,Registered,,,
1337076,FDMAT108-15,6/28/2016 8:46:00 PM,Registered,,,
1450395,FDMAT108-15,6/29/2016 2:11:00 AM,Registered,,,
1478806,FDMAT108-15,6/29/2016 7:38:00 AM,Registered,,,
1492392,FDMAT108-15,6/29/2016 9:54:00 AM,Registered,,,
1324815,FDMAT108-15,6/29/2016 11:35:00 AM,Registered,,,
1324815,FDMAT108-15,6/29/2016 11:45:00 AM,Dropped,,,
1492535,FDMAT108-15,6/29/2016 2:01:00 PM,Registered,,,
1492535,FDMAT108-15,6/29/2016 2:04:00 PM,Dropped,,,
880217,FDMAT108-15,6/29/2016 3:23:00 PM,Registered,,,
896799,FDMAT108-15,6/29/2016 4:17:00 PM,Registered,,,
1486714,FDMAT108-15,6/29/2016 5:51:00 PM,Registered,,,
1406110,FDMAT108-15,6/29/2016 6:21:00 PM,Registered,,,
1508581,FDMAT108-15,6/29/2016 6:32:00 PM,Registered,,,
1508581,FDMAT108-15,6/29/2016 6:57:00 PM,Dropped,,,
1508581,FDMAT108-15,6/29/2016 7:22:00 PM,Registered,,,
1508581,FDMAT108-15,6/29/2016 7:23:00 PM,Dropped,,,
1479292,FDMAT108-15,6/29/2016 8:35:00 PM,Registered,,,
1500056,FDMAT108-15,6/30/2016 12:06:00 AM,Registered,,,
1500056,FDMAT108-15,6/30/2016 12:11:00 AM,Dropped,,,
1438013,FDMAT108-15,6/30/2016 7:43:00 AM,Registered,,,
1312970,FDMAT108-15,6/30/2016 11:45:00 AM,Registered,,,
1312970,FDMAT108-15,6/30/2016 11:46:00 AM,Dropped,,,
1502288,FDMAT108-15,6/30/2016 2:49:00 PM,Registered,,,
1502288,FDMAT108-15,6/30/2016 2:50:00 PM,Dropped,,,
1449208,FDMAT108-15,6/30/2016 4:00:00 PM,Registered,,,
1492263,FDMAT108-15,6/30/2016 4:29:00 PM,Registered,,,
1492263,FDMAT108-15,6/30/2016 7:39:00 PM,Dropped,,,
1328510,FDMAT108-15,6/30/2016 7:46:00 PM,Registered,,,
1485429,FDMAT108-15,6/30/2016 7:53:00 PM,Registered,,,
1406110,FDMAT108-15,6/30/2016 8:02:00 PM,Dropped,,,
1475589,FDMAT108-15,6/30/2016 11:11:00 PM,Registered,,,
1481490,FDMAT108-15,7/1/2016 11:31:00 AM,Registered,,,
1492050,FDMAT108-15,7/1/2016 12:59:00 PM,Registered,,,
1275646,FDMAT108-15,7/1/2016 2:54:00 PM,Registered,,,
1443685,FDMAT108-15,7/1/2016 3:10:00 PM,Registered,,,
1476944,FDMAT108-15,7/1/2016 6:02:00 PM,Registered,,,
1483612,FDMAT108-15,7/1/2016 6:26:00 PM,Registered,,,
1254816,FDMAT108-15,7/1/2016 6:28:00 PM,Registered,,,
1483612,FDMAT108-15,7/1/2016 6:33:00 PM,Dropped,,,
1353348,FDMAT108-15,7/1/2016 6:36:00 PM,Registered,,,
1460730,FDMAT108-15,7/1/2016 8:07:00 PM,Registered,,,
1473171,FDMAT108-15,7/1/2016 9:17:00 PM,Registered,,,
1497402,FDMAT108-15,7/2/2016 8:49:00 AM,Registered,,,
1443028,FDMAT108-15,7/2/2016 11:15:00 AM,Registered,,,
1275920,FDMAT108-15,7/2/2016 2:23:00 PM,Registered,,,
1498389,FDMAT108-15,7/2/2016 6:30:00 PM,Registered,,,
1477439,FDMAT108-15,7/2/2016 6:48:00 PM,Registered,,,
1502549,FDMAT108-15,7/2/2016 10:47:00 PM,Registered,,,
1332634,FDMAT108-15,7/2/2016 11:29:00 PM,Registered,,,
1471894,FDMAT108-15,7/3/2016 1:21:00 AM,Registered,,,
1258410,FDMAT108-15,7/3/2016 3:14:00 PM,Registered,,,
1258410,FDMAT108-15,7/3/2016 3:21:00 PM,Dropped,,,
984038,FDMAT108-15,7/3/2016 7:22:00 PM,Registered,,,
1272433,FDMAT108-15,7/3/2016 8:05:00 PM,Registered,,,
1319943,FDMAT108-15,7/3/2016 11:44:00 PM,Registered,,,
1319943,FDMAT108-15,7/4/2016 12:04:00 AM,Dropped,,,
1316018,FDMAT108-15,7/4/2016 12:09:00 AM,Registered,,,
1490693,FDMAT108-15,7/4/2016 8:21:00 AM,Registered,,,
1512023,FDMAT108-15,7/4/2016 9:16:00 AM,Registered,,,
1422423,FDMAT108-15,7/4/2016 10:06:00 AM,Registered,,,
1316029,FDMAT108-15,7/4/2016 3:51:00 PM,Registered,,,
1316029,FDMAT108-15,7/4/2016 3:57:00 PM,Dropped,,,
1513318,FDMAT108-15,7/4/2016 5:14:00 PM,Registered,,,
1477205,FDMAT108-15,7/5/2016 9:10:00 AM,Registered,,,
1268850,FDMAT108-15,7/5/2016 11:05:00 AM,Registered,,,
1383927,FDMAT108-15,7/5/2016 12:42:00 PM,Registered,,,
1395256,FDMAT108-15,7/5/2016 1:31:00 PM,Registered,,,
1495397,FDMAT108-15,7/5/2016 1:49:00 PM,Registered,,,
1306289,FDMAT108-15,7/5/2016 2:34:00 PM,Registered,,,
1306289,FDMAT108-15,7/5/2016 2:40:00 PM,Dropped,,,
1306289,FDMAT108-15,7/5/2016 2:45:00 PM,Registered,,,
1387405,FDMAT108-15,7/5/2016 4:40:00 PM,Registered,,,
1488311,FDMAT108-15,7/5/2016 5:06:00 PM,Registered,,,
1451598,FDMAT108-15,7/5/2016 5:11:00 PM,Registered,,,
1476021,FDMAT108-15,7/5/2016 6:53:00 PM,Registered,,,
1498178,FDMAT108-15,7/5/2016 8:59:00 PM,Registered,,,
1501576,FDMAT108-15,7/5/2016 11:42:00 PM,Wait List,,,
1497486,FDMAT108-15,7/6/2016 11:31:00 AM,Wait List,,,
1390499,FDMAT108-15,7/6/2016 2:29:00 PM,Wait List,,,
1390499,FDMAT108-15,7/6/2016 2:50:00 PM,Dropped,Waitlist System Dropped,,
