name,type,time,amount
SplashandDash,Services,2016-06-23T18:35:00Z,15
SplashandDash,Services,2016-06-23T21:41:00Z,50
SplashandDash,Services,2016-06-23T22:04:00Z,-18.45
SplashandDash,Services,2016-06-23T22:35:00Z,50
SplashandDash,Services,2016-06-24T19:36:00Z,25
SplashandDash,Services,2016-06-24T17:39:00Z,15
SplashandDash,Services,2016-06-24T17:40:00Z,20
SplashandDash,Services,2016-06-24T18:02:00Z,30
SplashandDash,Services,2016-06-24T18:23:00Z,70
SplashandDash,Services,2016-06-24T20:32:00Z,20
SplashandDash,Services,2016-06-24T20:38:00Z,20
SplashandDash,Services,2016-06-24T20:44:00Z,30
SplashandDash,Services,2016-06-24T21:46:00Z,15
SplashandDash,Services,2016-06-27T17:37:00Z,30
SplashandDash,Services,2016-06-27T18:42:00Z,30
SplashandDash,Services,2016-06-27T18:46:00Z,20
SplashandDash,Services,2016-06-27T18:59:00Z,10
SplashandDash,Services,2016-06-27T20:04:00Z,30
SplashandDash,Services,2016-06-27T20:10:00Z,20
SplashandDash,Services,2016-06-27T21:24:00Z,-18
SplashandDash,Services,2016-06-27T21:25:00Z,-13.87
SplashandDash,Services,2016-06-27T22:19:00Z,30
SplashandDash,Services,2016-06-27T22:23:00Z,20
SplashandDash,Services,2016-06-27T14:45:00Z,-6.06
SplashandDash,Services,2016-06-27T14:51:00Z,-19.42
SplashandDash,Services,2016-06-28T19:00:00Z,8
SplashandDash,Services,2016-06-28T19:07:00Z,18
SplashandDash,Services,2016-06-28T19:14:00Z,20
SplashandDash,Services,2016-06-28T19:15:00Z,12
SplashandDash,Services,2016-06-28T19:31:00Z,16
SplashandDash,Services,2016-06-28T19:49:00Z,18
SplashandDash,Services,2016-06-28T17:28:00Z,70
SplashandDash,Services,2016-06-28T17:59:00Z,20
SplashandDash,Services,2016-06-28T20:47:00Z,30
SplashandDash,Services,2016-06-28T21:10:00Z,15
SplashandDash,Services,2016-06-28T22:39:00Z,20
SplashandDash,Services,2016-06-29T19:18:00Z,50
SplashandDash,Services,2016-06-29T19:21:00Z,20
SplashandDash,Services,2016-06-29T17:09:00Z,50
